,maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2,case_type,move_dominant_agents
538,539,15,['000'],0,A,0,0,,
539,540,15,['001'],1,B,0,0,,
540,541,15,['010'],2,S,0,0,,
541,542,15,['000'],0,A,0,0,,
542,543,15,['010'],2,B,0,0,,
543,544,15,['001'],1,S,0,0,,
544,545,15,['000'],0,A,0,0,,
545,546,15,['000'],0,B,0,0,,
546,547,15,['000'],0,S,0,0,,
547,548,15,['000'],0,A,0,0,,
548,549,15,['001'],1,B,0,0,,
549,550,15,['000'],0,S,0,0,,
550,551,15,['010'],2,A,0,0,,
551,552,15,['010'],2,B,0,0,,
552,553,15,['000'],0,S,0,0,,
553,554,15,['000'],0,A,0,0,,
554,555,15,['010'],2,B,0,0,,
555,556,15,['000'],0,S,0,0,,
556,557,15,['000'],0,A,0,0,,
557,558,15,['010'],2,B,0,0,,
558,559,15,['010'],2,S,0,0,,
559,560,15,['001'],1,A,0,0,,
560,561,15,['010'],2,B,0,0,,
561,562,15,['000'],0,S,0,0,,
562,563,15,['000'],0,A,0,0,,
563,564,14,['001'],1,B,0,0,,
564,565,15,['000'],0,S,0,0,,
565,566,15,['000'],0,A,0,0,,
566,567,14,['001'],1,B,0,0,,
567,568,15,['000'],0,S,0,0,,
568,569,15,['000'],0,A,0,0,,
569,570,15,['000'],0,B,0,0,,
570,571,15,['010'],2,S,0,0,,
571,572,15,['000'],0,A,0,0,,
572,573,15,['010'],2,B,0,0,,
573,574,15,['001'],1,S,0,0,,
574,575,15,['000'],0,A,0,0,,
575,576,15,['000'],0,B,0,0,,
576,577,15,['010'],2,S,0,0,,
577,578,15,['001'],1,A,0,0,,
578,579,14,['010'],2,B,0,0,,
579,580,15,['000'],0,S,0,0,,
580,581,15,['000'],0,A,0,0,,
581,582,15,['010'],2,B,0,0,,
582,583,15,['000'],0,S,0,0,,
583,584,15,['000'],0,A,0,0,,
584,585,15,['000'],0,B,0,0,,
585,586,15,['000'],0,S,0,0,,
586,587,15,['000'],0,A,0,0,,
587,588,13,['001'],1,B,0,0,,
588,589,15,['001'],1,S,0,0,,
589,590,15,['000'],0,A,0,0,,
590,591,15,['010'],2,B,0,0,,
591,592,15,['000'],0,S,0,0,,
592,593,15,['000'],0,A,0,0,,
593,594,15,['001'],1,B,0,0,,
594,595,15,['001'],1,S,0,0,,
595,596,15,['000'],0,A,0,0,,
596,597,15,['000'],0,B,0,0,,
597,598,15,['000'],0,S,0,0,,
598,599,15,['000'],0,A,0,0,,
599,600,14,['010'],2,B,0,0,,
600,601,15,['000'],0,S,0,0,,
601,602,14,['010'],2,A,0,0,,
602,603,15,['000'],0,B,0,0,,
603,604,15,['000'],0,S,0,0,,
604,605,15,['001'],1,A,0,0,,
605,606,15,['001'],1,B,0,0,,
606,607,15,['000'],0,S,0,0,,
607,608,15,['010'],2,A,0,0,,
608,609,15,['010'],2,B,0,0,,
609,610,15,['000'],0,S,0,0,,
610,611,15,['000'],0,A,0,0,,
611,612,14,['001'],1,B,0,0,,
612,613,15,['010'],2,S,0,0,,
613,614,15,['000'],0,A,0,0,,
614,615,15,['010'],2,B,0,0,,
615,616,15,['000'],0,S,0,0,,
616,617,15,['000'],0,A,0,0,,
617,618,15,['010'],2,B,0,0,,
618,619,15,['000'],0,S,0,0,,
619,620,15,['010'],2,A,0,0,,
620,621,15,['010'],2,B,0,0,,
621,622,15,['000'],0,S,0,0,,
622,623,15,['001'],1,A,0,0,,
623,624,15,['010'],2,B,0,0,,
624,625,15,['000'],0,S,0,0,,
625,626,15,['000'],0,A,0,0,,
626,627,15,['010'],2,B,0,0,,
627,628,15,['000'],0,S,0,0,,
628,629,15,['010'],2,A,0,0,,
629,630,15,['010'],2,B,0,0,,
630,631,15,['000'],0,S,0,0,,
631,632,15,['000'],0,A,0,0,,
632,633,15,['000'],0,B,0,0,,
633,634,15,['000'],0,S,0,0,,
634,635,15,['010'],2,A,0,0,,
635,636,14,['010'],2,B,0,0,,
636,637,15,['000'],0,S,0,0,,
637,638,15,['010'],2,A,0,0,,
638,639,15,['000'],0,B,0,0,,
639,640,15,['010'],2,S,0,0,,
640,641,15,['001'],1,A,0,0,,
641,642,15,['001'],1,B,0,0,,
642,643,15,['010'],2,S,0,0,,
643,644,15,['000'],0,A,0,0,,
644,645,15,['000'],0,B,0,0,,
645,646,15,['000'],0,S,0,0,,
646,647,15,['000'],0,A,0,0,,
647,648,15,['010'],2,B,0,0,,
648,649,15,['000'],0,S,0,0,,
649,650,15,['000'],0,A,0,0,,
650,651,14,['010'],2,B,0,0,,
651,652,15,['001'],1,S,0,0,,
652,653,15,['000'],0,A,0,0,,
653,654,15,['001'],1,B,0,0,,
654,655,15,['000'],0,S,0,0,,
655,656,15,['000'],0,A,0,0,,
656,657,15,['000'],0,B,0,0,,
657,658,15,['000'],0,S,0,0,,
658,659,15,['000'],0,A,0,0,,
659,660,15,['000'],0,B,0,0,,
660,661,14,['001'],1,S,0,0,,
661,662,15,['010'],2,A,0,0,,
662,663,15,['000'],0,B,0,0,,
663,664,15,['000'],0,S,0,0,,
664,665,15,['001'],1,A,0,0,,
665,666,15,['010'],2,B,0,0,,
666,667,15,['000'],0,S,0,0,,
667,668,15,['000'],0,A,0,0,,
668,669,14,['010'],2,B,0,0,,
669,670,15,['000'],0,S,0,0,,
670,671,15,['000'],0,A,0,0,,
671,672,15,['000'],0,B,0,0,,
672,673,15,['010'],2,S,0,0,,
673,674,15,['000'],0,A,0,0,,
674,675,15,['001'],1,B,0,0,,
675,676,15,['000'],0,S,0,0,,
676,677,15,['000'],0,A,0,0,,
677,678,15,['001'],1,B,0,0,,
678,679,15,['010'],2,S,0,0,,
679,680,15,['010'],2,A,0,0,,
680,681,15,['010'],2,B,0,0,,
681,682,15,['000'],0,S,0,0,,
682,683,15,['000'],0,A,0,0,,
683,684,14,['010'],2,B,0,0,,
684,685,15,['001'],1,S,0,0,,
685,686,15,['000'],0,A,0,0,,
686,687,15,['000'],0,B,0,0,,
687,688,15,['010'],2,S,0,0,,
688,689,15,['010'],2,A,0,0,,
689,690,15,['010'],2,B,0,0,,
690,691,15,['000'],0,S,0,0,,
691,692,15,['000'],0,A,0,0,,
692,693,15,['010'],2,B,0,0,,
693,694,15,['000'],0,S,0,0,,
694,695,15,['000'],0,A,0,0,,
695,696,15,['000'],0,B,0,0,,
696,697,15,['001'],1,S,0,0,,
